TCS	Purv Mittal	siddhantgurung007@gmail.com
Infosys	Raman	betat1748@gmail.com
Mahindra	Suman	betat1748@gmail.com
Amazon	Chaman	betat1748@gmail.com
Google	Aman	betat1748@gmail.com
Oracle	Shyam	betat1748@gmail.com
LG	Ram	betat1748@gmail.com
Samsung	Naman	betat1748@gmail.com
Honda	Yash	betat1748@gmail.com
Suzuki	Vikash	betat17238@gmail.com
Hyundai	Ajay	betat1748@gmail.com
MG	Harneet	betat1748@gmail.com
Audi	Sapna	betat1748@gmail.com
TVS	Khushi	betat1748@gmail.com
Motorola	Ayushi	betat1748@gmail.com
